"name","code","tin","created_at","updated_at"
"ANDAMAN & NICOBAR ISLANDS","AN",35,"2018-06-30 22:12:42","2018-06-30 22:12:42"
"ANDHRA PRADESH","AD",37,"2018-06-30 22:12:42","2018-06-30 22:12:42"
"BIHAR","BR",10,"2018-06-30 22:12:42","2018-06-30 22:12:42"
"GUJARAT","GJ",24,"2018-06-30 22:12:43","2018-06-30 22:12:43"
"HIMACHAL PRADESH","HP",2,"2018-06-30 22:12:43","2018-06-30 22:12:43"
"KARNATAKA","KA",29,"2018-06-30 22:12:43","2018-06-30 22:12:43"
"KERALA","KL",32,"2018-06-30 22:12:44","2018-06-30 22:12:44"
"MADHYA PRADESH","MP",23,"2018-06-30 22:12:44","2018-06-30 22:12:44"
"MAHARASHTRA","MH",27,"2018-06-30 22:12:45","2018-06-30 22:12:45"
"ODISHA","OD",21,"2018-06-30 22:12:45","2018-06-30 22:12:45"
"RAJASTHAN","RJ",8,"2018-06-30 22:12:46","2018-06-30 22:12:46"
"TAMIL NADU","TN",33,"2018-06-30 22:12:46","2018-06-30 22:12:46"
"TELANGANA","TS",36,"2018-06-30 22:12:47","2018-06-30 22:12:47"
"UTTAR PRADESH","UP",9,"2018-06-30 22:12:47","2018-06-30 22:12:47"
"WEST BENGAL","WB",19,"2018-06-30 22:12:48","2018-06-30 22:12:48"
"ASSAM","AS",18,"2018-06-30 22:13:42","2018-06-30 22:13:42"
"CHATTISGARH","CS",22,"2018-06-30 22:13:43","2018-06-30 22:13:43"
"HARYANA","HR",6,"2018-06-30 22:13:45","2018-06-30 22:13:45"
"JHARKHAND","JH",20,"2018-06-30 22:13:46","2018-06-30 22:13:46"
"MEGHALAYA","ML",17,"2018-06-30 22:13:52","2018-06-30 22:13:52"
"PUNJAB","PB",3,"2018-06-30 22:13:53","2018-06-30 22:13:53"
"TRIPURA","TR",16,"2018-06-30 22:13:57","2018-06-30 22:13:57"
"ARUNACHAL PRADESH","AR",12,"2018-06-30 22:15:03","2018-06-30 22:15:03"
"DAMAN & DIU","DD",25,"2018-06-30 22:15:59","2018-06-30 22:15:59"
"DELHI","DL",7,"2018-06-30 22:15:59","2018-06-30 22:15:59"
"GOA","GA",30,"2018-06-30 22:16:01","2018-06-30 22:16:01"
"JAMMU & KASHMIR","JK",1,"2018-06-30 22:16:53","2018-06-30 22:16:53"
"LAKSHADWEEP","LD",31,"2018-06-30 22:18:03","2018-06-30 22:18:03"
"MANIPUR","MN",14,"2018-06-30 22:19:22","2018-06-30 22:19:22"
"MIZORAM","MZ",15,"2018-06-30 22:19:26","2018-06-30 22:19:26"
"NAGALAND","NL",13,"2018-06-30 22:19:28","2018-06-30 22:19:28"
"PONDICHERRY","PY",34,"2018-06-30 22:20:02","2018-06-30 22:20:02"
"SIKKIM","SK",11,"2018-06-30 22:20:58","2018-06-30 22:20:58"
"UTTARAKHAND","UK",5,"2018-06-30 22:23:29","2018-06-30 22:23:29"
"CHANDIGARH","CH",4,"2018-06-30 22:26:21","2018-06-30 22:26:21"
"DADRA & NAGAR HAVELI","DN",26,"2018-06-30 22:28:00","2018-06-30 22:28:00"
